"Year","Question","Area","Area_abbr","Demographics_Type","Demographics_Value","Percent","Low_Confidence_Interval","High_Confidence_Interval","Confidence_Interval_Formatted","Data_Label","Percentile_Range"
"2024","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Alabama","AL","Total","Total","11.3","10.1","12.4","11.3 (10.1-12.4)",,
"2024","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Alaska","AK","Total","Total","9.6","8.4","10.8","9.6 (8.4-10.8)",,
"2024","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Arizona","AZ","Total","Total","9.9","8.8","11.0","9.9 (8.8-11.0)",,
"2024","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Arkansas","AR","Total","Total","13.7","12.5","14.9","13.7 (12.5-14.9)",,
"2024","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","California","CA","Total","Total","9.6","8.8","10.4","9.6 (8.8-10.4)",,
"2024","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Colorado","CO","Total","Total","9.1","8.5","9.8","9.1 (8.5-9.8)",,
"2024","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Connecticut","CT","Total","Total","8.7","7.8","9.7","8.7 (7.8-9.7)",,
"2024","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Delaware","DE","Total","Total","9.0","7.7","10.3","9.0 (7.7-10.3)",,
"2024","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","District of Columbia","DC","Total","Total","7.5","6.3","8.8","7.5 (6.3-8.8)",,
"2024","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Florida","FL","Total","Total","11.0","9.9","12.1","11.0 (9.9-12.1)",,
"2024","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Georgia","GA","Total","Total","10.2","9.2","11.3","10.2 (9.2-11.3)",,
"2024","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Guam","GU","Total","Total","11.9","5.0","18.8","11.9 (5.0-18.8)",,
"2024","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Hawaii","HI","Total","Total","8.2","7.3","9.1","8.2 (7.3-9.1)",,
"2024","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Idaho","ID","Total","Total","9.3","8.1","10.4","9.3 (8.1-10.4)",,
"2024","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Illinois","IL","Total","Total","8.9","8.2","9.5","8.9 (8.2-9.5)",,
"2024","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Indiana","IN","Total","Total","10.6","9.9","11.3","10.6 (9.9-11.3)",,
"2024","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Iowa","IA","Total","Total","8.8","8.0","9.5","8.8 (8.0-9.5)",,
"2024","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Kansas","KS","Total","Total","8.7","8.0","9.4","8.7 (8.0-9.4)",,
"2024","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Kentucky","KY","Total","Total","12.8","11.7","13.9","12.8 (11.7-13.9)",,
"2024","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Louisiana","LA","Total","Total","12.9","11.6","14.1","12.9 (11.6-14.1)",,
"2024","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Maine","ME","Total","Total","11.6","10.8","12.4","11.6 (10.8-12.4)",,
"2024","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Maryland","MD","Total","Total","8.1","7.4","8.7","8.1 (7.4-8.7)",,
"2024","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Massachusetts","MA","Total","Total","8.1","7.4","8.9","8.1 (7.4-8.9)",,
"2024","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Michigan","MI","Total","Total","11.5","10.6","12.3","11.5 (10.6-12.3)",,
"2024","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Minnesota","MN","Total","Total","8.4","7.9","9.0","8.4 (7.9-9.0)",,
"2024","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Mississippi","MS","Total","Total","10.2","8.8","11.6","10.2 (8.8-11.6)",,
"2024","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Missouri","MO","Total","Total","10.5","9.5","11.4","10.5 (9.5-11.4)",,
"2024","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Montana","MT","Total","Total","10.2","9.2","11.1","10.2 (9.2-11.1)",,
"2024","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Nebraska","NE","Total","Total","8.2","7.5","8.9","8.2 (7.5-8.9)",,
"2024","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Nevada","NV","Total","Total","11.5","9.6","13.4","11.5 (9.6-13.4)",,
"2024","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","New Hampshire","NH","Total","Total","8.8","7.7","9.9","8.8 (7.7-9.9)",,
"2024","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","New Jersey","NJ","Total","Total","8.4","7.7","9.2","8.4 (7.7-9.2)",,
"2024","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","New Mexico","NM","Total","Total","11.0","9.5","12.4","11.0 (9.5-12.4)",,
"2024","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","New York","NY","Total","Total","9.0","8.6","9.4","9.0 (8.6-9.4)",,
"2024","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","North Carolina","NC","Total","Total","8.6","7.6","9.6","8.6 (7.6-9.6)",,
"2024","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","North Dakota","ND","Total","Total","7.3","6.4","8.1","7.3 (6.4-8.1)",,
"2024","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Ohio","OH","Total","Total","10.5","9.6","11.4","10.5 (9.6-11.4)",,
"2024","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Oklahoma","OK","Total","Total","11.3","10.4","12.2","11.3 (10.4-12.2)",,
