Label (Grouping),Connecticut!!Total!!Estimate,Connecticut!!Total!!Margin of Error,Connecticut!!Below poverty level!!Estimate,Connecticut!!Below poverty level!!Margin of Error,Connecticut!!Percent below poverty level!!Estimate,Connecticut!!Percent below poverty level!!Margin of Error,Maine!!Total!!Estimate,Maine!!Total!!Margin of Error,Maine!!Below poverty level!!Estimate,Maine!!Below poverty level!!Margin of Error,Maine!!Percent below poverty level!!Estimate,Maine!!Percent below poverty level!!Margin of Error,Massachusetts!!Total!!Estimate,Massachusetts!!Total!!Margin of Error,Massachusetts!!Below poverty level!!Estimate,Massachusetts!!Below poverty level!!Margin of Error,Massachusetts!!Percent below poverty level!!Estimate,Massachusetts!!Percent below poverty level!!Margin of Error,New Hampshire!!Total!!Estimate,New Hampshire!!Total!!Margin of Error,New Hampshire!!Below poverty level!!Estimate,New Hampshire!!Below poverty level!!Margin of Error,New Hampshire!!Percent below poverty level!!Estimate,New Hampshire!!Percent below poverty level!!Margin of Error,New Jersey!!Total!!Estimate,New Jersey!!Total!!Margin of Error,New Jersey!!Below poverty level!!Estimate,New Jersey!!Below poverty level!!Margin of Error,New Jersey!!Percent below poverty level!!Estimate,New Jersey!!Percent below poverty level!!Margin of Error,New York!!Total!!Estimate,New York!!Total!!Margin of Error,New York!!Below poverty level!!Estimate,New York!!Below poverty level!!Margin of Error,New York!!Percent below poverty level!!Estimate,New York!!Percent below poverty level!!Margin of Error,Pennsylvania!!Total!!Estimate,Pennsylvania!!Total!!Margin of Error,Pennsylvania!!Below poverty level!!Estimate,Pennsylvania!!Below poverty level!!Margin of Error,Pennsylvania!!Percent below poverty level!!Estimate,Pennsylvania!!Percent below poverty level!!Margin of Error,Rhode Island!!Total!!Estimate,Rhode Island!!Total!!Margin of Error,Rhode Island!!Below poverty level!!Estimate,Rhode Island!!Below poverty level!!Margin of Error,Rhode Island!!Percent below poverty level!!Estimate,Rhode Island!!Percent below poverty level!!Margin of Error,Vermont!!Total!!Estimate,Vermont!!Total!!Margin of Error,Vermont!!Below poverty level!!Estimate,Vermont!!Below poverty level!!Margin of Error,Vermont!!Percent below poverty level!!Estimate,Vermont!!Percent below poverty level!!Margin of Error
Population for whom poverty status is determined,"3,530,170","±1,025","353,604","±8,433",10.0%,±0.2,"1,347,527",±569,"144,830","±3,974",10.7%,±0.3,"6,819,072","±1,447","684,548","±9,915",10.0%,±0.1,"1,355,300",±579,"98,248","±3,704",7.2%,±0.3,"9,180,234","±2,117","891,891","±14,073",9.7%,±0.2,"19,362,417","±3,537","2,711,742","±29,111",14.0%,±0.2,"12,600,920","±2,399","1,475,496","±18,655",11.7%,±0.1,"1,060,352",±556,"118,364","±4,269",11.2%,±0.4,"624,283",±303,"62,749","±2,532",10.1%,±0.4
    AGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Under 18 years,"722,445",±999,"93,926","±3,931",13.0%,±0.5,"245,175",±628,"32,147","±2,063",13.1%,±0.8,"1,344,243","±1,547","157,297","±4,904",11.7%,±0.4,"249,863",±589,"19,691","±1,850",7.9%,±0.7,"2,013,795","±2,148","261,439","±6,866",13.0%,±0.3,"3,987,059","±3,569","730,485","±13,383",18.3%,±0.3,"2,620,094","±2,461","408,658","±8,674",15.6%,±0.3,"204,304",±561,"27,964","±2,183",13.7%,±1.1,"114,080",±342,"12,328",±923,10.8%,±0.8
            Under 5 years,"179,219",±433,"23,743","±1,825",13.2%,±1.0,"60,599",±410,"8,044",±718,13.3%,±1.2,"342,877",±896,"42,008","±2,509",12.3%,±0.7,"61,527",±458,"5,240",±732,8.5%,±1.2,"519,851",±992,"69,480","±3,003",13.4%,±0.6,"1,054,408","±1,769","197,373","±5,622",18.7%,±0.5,"666,251","±1,150","112,279","±3,511",16.9%,±0.5,"52,456",±343,"7,907","±1,046",15.1%,±2.0,"27,119",±266,"3,226",±485,11.9%,±1.8
            5 to 17 years,"543,226",±842,"70,183","±2,888",12.9%,±0.5,"184,576",±578,"24,103","±1,673",13.1%,±0.9,"1,001,366","±1,094","115,289","±3,620",11.5%,±0.4,"188,336",±583,"14,451","±1,449",7.7%,±0.8,"1,493,944","±1,742","191,959","±5,193",12.8%,±0.3,"2,932,651","±2,934","533,112","±9,518",18.2%,±0.3,"1,953,843","±1,887","296,379","±6,649",15.2%,±0.3,"151,848",±474,"20,057","±1,857",13.2%,±1.2,"86,961",±323,"9,102",±711,10.5%,±0.8
            Related children of householder under 18 years,"719,355","±1,225","91,057","±3,934",12.7%,±0.5,"243,776",±694,"30,824","±2,065",12.6%,±0.8,"1,339,845","±1,652","153,486","±4,889",11.5%,±0.4,"248,514",±624,"18,404","±1,792",7.4%,±0.7,"2,006,677","±2,407","254,847","±6,894",12.7%,±0.3,"3,969,766","±3,848","714,642","±13,194",18.0%,±0.3,"2,610,817","±2,575","400,127","±8,549",15.3%,±0.3,"203,345",±614,"27,167","±2,238",13.4%,±1.1,"113,451",±372,"11,731",±912,10.3%,±0.8
        18 to 64 years,"2,155,114",±495,"202,473","±5,030",9.4%,±0.2,"801,857",±575,"84,482","±2,419",10.5%,±0.3,"4,250,978",±768,"396,660","±6,321",9.3%,±0.1,"833,415",±455,"57,577","±2,303",6.9%,±0.3,"5,596,020",±863,"477,820","±8,566",8.5%,±0.2,"11,912,965","±1,220","1,522,265","±16,304",12.8%,±0.1,"7,527,786",±935,"824,732","±10,950",11.0%,±0.1,"657,378",±431,"68,474","±2,689",10.4%,±0.4,"374,832",±322,"38,695","±1,688",10.3%,±0.5
            18 to 34 years,"736,433",±628,"84,345","±2,715",11.5%,±0.4,"256,514",±558,"32,994","±1,440",12.9%,±0.6,"1,526,037",±872,"174,172","±3,526",11.4%,±0.2,"275,791",±575,"22,417","±1,380",8.1%,±0.5,"1,911,853",±997,"189,304","±5,088",9.9%,±0.3,"4,317,100","±1,576","634,555","±8,265",14.7%,±0.2,"2,620,026","±1,284","356,075","±5,980",13.6%,±0.2,"235,482",±564,"30,851","±1,998",13.1%,±0.8,"124,877",±402,"17,522","±1,173",14.0%,±0.9
            35 to 64 years,"1,418,681",±701,"118,128","±3,789",8.3%,±0.3,"545,343",±745,"51,488","±1,884",9.4%,±0.3,"2,724,941",±713,"222,488","±5,484",8.2%,±0.2,"557,624",±715,"35,160","±1,653",6.3%,±0.3,"3,684,167",±844,"288,516","±5,425",7.8%,±0.1,"7,595,865","±1,720","887,710","±10,777",11.7%,±0.1,"4,907,760","±1,436","468,657","±8,370",9.5%,±0.2,"421,896",±690,"37,623","±1,690",8.9%,±0.4,"249,955",±462,"21,173","±1,135",8.5%,±0.5
        60 years and over,"908,984","±3,164","80,847","±2,592",8.9%,±0.3,"411,101","±1,798","39,846","±1,481",9.7%,±0.4,"1,697,388","±4,573","176,277","±3,200",10.4%,±0.2,"383,471","±2,076","29,438","±1,532",7.7%,±0.4,"2,187,600","±5,102","203,849","±3,958",9.3%,±0.2,"4,773,669","±7,076","626,212","±7,594",13.1%,±0.2,"3,357,508","±5,595","337,736","±5,399",10.1%,±0.2,"276,871","±1,825","31,156","±1,498",11.3%,±0.5,"185,798","±1,088","16,419",±982,8.8%,±0.5
